Model,AUC,AUC_CI_lo,AUC_CI_hi,ACC,n_predictions,time_s,api_calls,est_cost_usd
Trivial,0.5,0.5,0.5,0.6530859401777758,43763,2.47,,
BKT,0.6777339614612059,0.672586269618636,0.6836452303468199,0.6983067888398876,43763,42.46,,
DKT,0.7631233435661653,0.757446161435067,0.7680695694347802,0.7304680386086323,32946,50.13,,
SAKT,0.7217668693038881,0.7157320867461247,0.7275235307136401,0.701329448187944,32946,202.29,,
AKT,0.7476877986169752,0.7419120523896291,0.7537987656041754,0.7174163783160323,32946,1437.12,,
LLM_zero_shot,0.6964297192595741,0.6701424198654149,0.7234090506655861,0.6810650887573965,1690,2064.14,1602.0,0.4995
LLM_few_shot,0.7034880678249948,0.678277948808643,0.7304452622965129,0.6666666666666666,1650,2038.35,1650.0,0.6516
LLM_zero_shot_gpt4omini,0.7088472350038959,0.6840972785828906,0.7347489088602915,0.6538461538461539,1690,,1603.0,0.0504
LLM_few_shot_gpt4omini,0.7114624764496545,0.6856182636267797,0.7384194631439522,0.6909090909090909,1650,,1650.0,0.0765
